genome_id,#ID,DGRcomp
3300029076_3,3300029076.a:Ga0169233_100049,TR
3300029013_3,3300029013.a:Ga0169598_100249,TR
3300027835_46,3300027835.a:Ga0209515_10052792,TR
3300027276_14,3300027276.a:Ga0208297_1000649,TR
3300023257_4,3300023257.a:Ga0222658_1004186,TR
3300021326_34,3300021326.a:Ga0214518_100794,TR
3300014808_12,3300014808.a:Ga0134443_1000164,TR
3300014789_7,3300014789.a:Ga0134406_1000032,TR
3300014752_4,3300014752.a:Ga0169821_100024,TR
3300014744_3,3300014744.a:Ga0134393_100006,TR
3300014557_4,3300014557.a:Ga0169723_100285,TR
3300014522_2,3300014522.a:Ga0169727_100060,TR
3300012007_2,3300012007.a:Ga0120382_1002284,TR
3300029762_13,3300029762.a:Ga0245183_100063,TR
3300029681_13,3300029681.a:Ga0245167_100046,TR
3300029671_10,3300029671.a:Ga0245181_100545,TR
3300029607_17,3300029607.a:Ga0244907_100588,TR
3300029563_16,3300029563.a:Ga0245114_100038,TR
3300029494_23,3300029494.a:Ga0244011_1000001,TR
3300029493_22,3300029493.a:Ga0244010_1000012,TR
3300029441_29,3300029441.a:Ga0243753_1000714,TR
3300029316_8,3300029316.a:Ga0242768_100041,TR
3300029227_13,3300029227.a:Ga0168687_100074,TR
3300029118_15,3300029118.a:Ga0168844_100043,TR
3300029075_2,3300029075.a:Ga0169206_10001,TR
3300029068_1,3300029068.a:Ga0169188_10044,TR
3300029066_1,3300029066.a:Ga0169219_10081,TR
3300029065_1,3300029065.a:Ga0169207_1018,TR
3300028972_1,3300028972.a:Ga0169595_10049,TR
3300028966_3,3300028966.a:Ga0169696_100014,TR
3300028603_61,3300028603.a:Ga0265293_10011709,TR
3300028553_25,3300028553.a:Ga0247839_1000249,TR
3300028277_9,3300028277.a:Ga0257116_1002205,TR
3300028174_7,3300028174.a:Ga0257123_1004098,TR
3300026302_10,3300026302.a:Ga0209794_1000060,TR
3300026286_8,3300026286.a:Ga0209460_1000030,TR
3300026255_2,3300026255.a:Ga0209613_1001223,TR
3300026198_1,3300026198.a:Ga0209313_1001168,TR
3300025858_89,3300025858.a:Ga0209099_1000056,TR
3300025600_10,3300025600.a:Ga0209125_1000041,TR
3300025575_9,3300025575.a:Ga0209430_1000272,TR
